date,mrg
2026-03-05,72.0
2026-03-05,72.0
2026-03-05,75.0
2026-03-05,75.0
2026-03-06,55.0
2026-03-06,55.0
2026-03-06,55.0
2026-03-06,55.0
2026-03-06,55.0
2026-03-10,45.0
2026-03-10,45.0
2026-03-11,45.0
2026-03-12,45.0
2026-03-13,48.38
2026-03-14,48.38
2026-03-15,32.25
2026-03-16,39.38
2026-03-17,39.38
2026-03-18,39.38
2026-03-19,37.62
2026-03-20,32.25
2026-03-21,32.25
2026-03-22,45.0
2026-03-23,45.0
2026-03-24,32.25
2026-03-25,36.0
2026-03-26,32.25
2026-03-27,45.0
2026-03-28,45.0
2026-03-29,45.0
2026-03-30,50.62
2026-03-31,48.38
2026-04-01,33.75
2026-04-02,56.25
2026-04-03,50.62
2026-04-04,56.25
2026-04-05,50.62
2026-04-06,33.75
2026-04-07,45.0
2026-04-08,37.5
2026-04-09,32.25
2026-04-10,33.75
2026-04-11,33.75
2026-04-12,33.75
2026-04-13,32.25
2026-04-14,39.38
2026-04-15,35.0
2026-04-16,35.0
2026-04-17,35.0
2026-04-18,35.0
2026-04-19,35.0
2026-04-20,35.0
2026-04-21,35.0
2026-04-22,37.62
2026-04-23,37.62
2026-04-24,35.0
2026-04-25,42.0
2026-04-26,37.62
2026-04-27,37.62
2026-04-28,39.38
2026-04-29,39.38
2026-04-30,39.38
2026-05-01,39.38
2026-05-02,39.38
2026-05-03,39.38
2026-05-04,39.38
2026-05-05,39.38
2026-05-07,35.0
2026-05-08,35.0
2026-05-09,37.62
2026-05-10,37.62
2026-05-11,39.38
2026-05-12,37.62
2026-05-13,37.62
2026-05-14,37.62
2026-05-15,35.0
2026-05-16,35.0
2026-05-17,35.0
2026-05-18,37.62
2026-05-19,37.62
2026-05-20,37.62
2026-05-21,37.62
2026-05-22,37.62
2026-05-23,50.0
2026-05-24,50.0
2026-05-25,37.62
2026-05-26,53.75
2026-05-27,50.0
2026-05-28,56.25
2026-05-29,62.5
2026-05-30,56.25
2026-05-31,56.25
2026-06-01,56.25
2026-06-02,53.75
2026-06-03,50.62
2026-06-04,56.25
2026-06-05,56.25
2026-06-06,50.62
2026-06-07,50.62
2026-06-08,50.62
2026-06-09,50.62
2026-06-10,50.62
2026-06-11,50.62
2026-06-12,48.38
2026-06-13,45.0
2026-06-14,45.0
2026-06-15,50.0
2026-06-16,56.25
2026-06-17,50.0
2026-06-18,45.0
2026-06-19,48.38
2026-06-20,53.75
2026-06-21,53.75
2026-06-22,56.25
2026-06-23,56.25
2026-06-24,50.62
2026-06-25,50.62
2026-06-26,54.0
2026-06-27,54.0
2026-06-28,54.0
2026-06-29,54.0
2026-06-30,54.0
2026-07-01,54.0
2026-07-02,54.0
2026-07-03,66.25
2026-07-04,60.0
2026-07-05,60.0
2026-07-06,66.25
2026-07-07,50.0
2026-07-08,62.5
2026-07-09,68.75
2026-07-10,68.75
2026-07-11,68.75
2026-07-12,68.75
2026-07-13,68.75
2026-07-14,62.5
2026-07-15,48.12
2026-07-16,43.75
2026-07-17,62.5
2026-07-18,43.75
2026-07-19,48.12
2026-07-20,43.75
